"","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Malta","Maldives","Malaysia","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"United Republic of Tanzania","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"China, Taiwan Province of","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Syrian Arab Republic","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Switzerland","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Sweden","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Eswatini","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Suriname","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Sudan (former)","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Spain","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","33537.85385","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","1.359960e+07","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0"," 16768.9269","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00"," 16768.92693","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0"," 16768.9269","0","0","6456036.8664","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","1.676893e+05","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"South Africa","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","2503.778","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","2281.925","0","0"," 0.00000"," 0.0000","0","0","   348.6274","31.6934","0","0","0.000000","0","0","  0.000","  0.000","0","0"," 158.467","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","427.8608","0","    0.00","0"
"Singapore","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Slovakia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Slovenia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Saudi Arabia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Russian Federation","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Romania","0","0","0.000000","   0.00","1.901052e+02"," 0.000","0.000000e+00","0","    0.0000","1009432","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","320327.28923","0","0"," 0.000","0","    0.0000","0","0","  0.0000","2308.42048","27.15789","0","0","0","70800.614075","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","  624.63142","  0.0000","0","  0.0000","0","    0.00","0"
"Zimbabwe","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Qatar","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Portugal","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Poland","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Philippines","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Peru","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Paraguay","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Czechia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Panama","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
