"","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Saint Helena, Ascension and Tristan da Cunha","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Turkey","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Trinidad and Tobago","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Thailand","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"United Republic of Tanzania","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"China, Taiwan Province of","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Syrian Arab Republic","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Switzerland","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Sweden","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Eswatini","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Suriname","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Sudan (former)","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Spain","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","9205.6379","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","3.250050e+07","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000"," 9205.637875","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","  4602.819","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","9.205638e+03","0","0","5.845580e+05","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
