"","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Uruguay"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"United States of America"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Ukraine"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"United Kingdom"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Uganda"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"United Arab Emirates"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Turkey"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Trinidad and Tobago"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Thailand"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"United Republic of Tanzania"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"China, Taiwan Province of"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Syrian Arab Republic"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Switzerland"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
