"","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","British Virgin Islands","Ethiopia","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania"
"South Africa","   0.0000","     0.000","0","190.1604","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","325.9892","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","4283.13612","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0","81.4973","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","13673.44","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","2933.903","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","887.4151","0"," 0.00000"
"Singapore","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Slovakia","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Slovenia","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Sierra Leone","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Saudi Arabia","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Sao Tome and Principe","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Russian Federation","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Romania","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","355219.060","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","47443.15438","121204.101","    0.000","0","0","    0.00","0","0","152892.1444","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","100469.9","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Zimbabwe","   0.0000","106288.129","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Qatar","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Guinea-Bissau","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Portugal","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Poland","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Philippines","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Peru","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Paraguay","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Papua New Guinea","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Czechia","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Panama","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Norway","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Niger","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
"Nicaragua","   0.0000","     0.000","0","  0.0000","0","0","    0.00","0","0","  0.0000","    0.000000","0.000000","     0.00000","0","  0.0000","     0.000","0","0","     0.00","0","    0.0","0.000000","   0.000","    0.00000","   0.0000","0","0","    0.0000","    0.00","    0.00"," 0.000000"," 0.00000","0","   0.00000","0","0.000000e+00","   0.00000","0","0","0","     0.00000","  0.0000","   0.000","   0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0.000000e+00"," 0.00000","0"," 0.0000","0.0000000","0","0"," 0.00000","0.000000","    0.00","0","    0.000","0","0","0","0","0","0","0","0","0","   0.000","0","0","    0.00","0","   0.000","    0.000","0","    0.00","0","    0.00000","     0.000","    0.000","0","0","    0.00","0","0","     0.0000","  0.0000","0","0","    0.00","0","0.000000e+00","0","0","    0.00000","   0.000","0","0.000000e+00","0.000000","0","0","0","   0.000","    0.000","0","0","  0.000000","0","  0.0000","0","    0.00","0","   0.000","      0","    0.0","  0.0000","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.0000000","0","0.000000","0","    0.0000","0","0","  0.0000","0"," 0.00000"
