"","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Suriname","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Spain","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","1.425067e+08","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","2729142.8571","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","518537.1429","109165.7","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","536731.4286","0","0","18248868.571","0.000000"," 0.00000","0","  0.0000","0","3302262.8571","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"South Africa","0.000000","0","    0.00","0","  565.2696","0","   0.000","    0.0000","0.000000e+00","3203.194","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","3477.264500","  0.00000","0","0.000000","0","0","0","122672.0676","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000","94.2116","    0.00","1.394332e+04","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","342.5876"," 0.00000","0"
"Singapore","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Slovakia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Slovenia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Saudi Arabia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Sao Tome and Principe","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Russian Federation","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Romania","0.000000","0","    0.00","0","    0.0000","0","   0.000","  562.2786","0.000000e+00","   0.000","0","  124.9508","   0.000000","  0.000"," 124.9508"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","124.95081","   0.0000","0","   0.000","0","9058.93378","0"," 0.00000","0","0"," 0.00000","0","0","  31924.9321","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","348987.6143","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","95837.27181","  0.000000","0","0","0","741895.43857","0","  0.0000","696975.6221","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0"," 62.47541","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","161061.5950","  0.00000","0","  0.0000"," 0.00000","0"
"Zimbabwe","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0"," 879.802218","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Qatar","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Portugal","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Poland","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Philippines","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Peru","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Paraguay","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Papua New Guinea","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Czechia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Panama","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Norway","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Niger","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Nicaragua","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"New Zealand","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
