"","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania"
"United Republic of Tanzania","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"China, Taiwan Province of","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Turkmenistan","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Syrian Arab Republic","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Switzerland","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Sweden","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Eswatini","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Suriname","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Spain","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","1.093277e+08","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","43254.339623","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","168211.32075"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","153793.20755","0","0","1.081358e+07","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"South Africa","1941.989","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","3756.40295","    0.000","0","191.3639","  0.0000","0"," 0.00000","0","    0.0000","191.3639","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","425.2532"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","2.693270e+02","    0.00"," 0.00000","0","0","    0.000","85.05063","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","382.7278","0.000000","0"
"Singapore","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Slovakia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
