"","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Tonga","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Thailand","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"United Republic of Tanzania","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"China, Taiwan Province of","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Turkmenistan","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Syrian Arab Republic","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Switzerland","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Sweden","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Eswatini","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Suriname","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Spain","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","1.552110e+08","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0"," 286631.658","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","334403.6009","0","0","1385386.347","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"South Africa","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","2946.023","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","58506.98462","0.000000","0","0","  0.0000","0","0","0","1.479100e+06","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","325881.84","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","3.320220e+04","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0","72.35846","0","0","0"
"Singapore","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Slovakia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Slovenia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
