"","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Saint Helena, Ascension and Tristan da Cunha","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Sweden","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Eswatini","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Suriname","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Sudan (former)","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Spain","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","27686.9565","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","1.758260e+08","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","41530.43478","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","3.445642e+07","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000"," 13843.47826","0","0","3765426.0870"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","  13843.4783","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"South Africa","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","1081.595","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","2163.19","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","393.3073","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Singapore","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Slovakia","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Slovenia","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Saudi Arabia","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Saint Helena, Ascension and Tristan da Cunha","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Russian Federation","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Romania","     0.00000","0","     0.00000","0","    0.0000","448479.5"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","3.393880e+05","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","396377.15843","0","0.000000","     0.0","0","309241.63446","0","   0.000","  1927.16799","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","13352.52","0"
"Zimbabwe","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Qatar","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Portugal","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Poland","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Philippines","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Peru","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Paraguay","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Czechia","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Panama","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Norway","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Nicaragua","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"New Zealand","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
