"","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"South Africa","  0.0000","   0.00","    0.00000","0.000000e+00","50.23551","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","  527.472897","   0.000","0.0000000","0","30813.2084","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","339.0897","1117.74","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0","62.79439","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","376.7664","0","0","0"
"Singapore","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Slovakia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Slovenia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Saudi Arabia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Sao Tome and Principe","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Russian Federation","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Romania","  0.0000","   0.00","41569.79100","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","19694.716116","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","451298.5221"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","99438.65741","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","5.677869e+05","0","0","3.574359e+01","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0"," 2537.795","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","766556.9543","0","0","    0.00","0","  0.000","   0.000","    0.00000","0"," 74310.9162"," 0.0000","0","  0.0000","0","0","0"
"Zimbabwe","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","4.477112e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","  393.9858","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Qatar","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Guinea-Bissau","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Portugal","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Poland","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Philippines","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Peru","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Paraguay","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Papua New Guinea","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Czechia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Panama","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Norway","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Niger","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Nicaragua","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"New Zealand","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
